iter	Passed	Remaining
0	32	9735
1	64	9621
2	98	9862
3	132	9887
4	165	9825
5	199	9818
6	232	9815
7	267	9817
8	300	9772
9	333	9742
10	364	9646
11	400	9676
12	434	9667
13	469	9667
14	505	9679
15	541	9672
16	575	9639
17	607	9591
18	642	9563
19	676	9544
20	712	9529
21	743	9460
22	779	9452
23	811	9403
24	847	9388
25	882	9367
26	920	9371
27	957	9367
28	991	9335
29	1025	9302
30	1058	9251
31	1092	9217
32	1124	9169
33	1157	9122
34	1190	9085
35	1224	9049
36	1255	8991
37	1289	8958
38	1324	8932
39	1357	8891
40	1389	8847
41	1423	8814
42	1458	8782
43	1491	8743
44	1525	8711
45	1559	8680
46	1592	8638
47	1623	8591
48	1656	8554
49	1690	8519
50	1724	8486
51	1754	8436
52	1786	8394
53	1820	8363
54	1851	8314
55	1886	8285
56	1921	8258
57	1955	8225
58	1987	8187
59	2021	8151
60	2054	8116
61	2087	8080
62	2116	8031
63	2152	8003
64	2189	7981
65	2220	7938
66	2255	7909
67	2289	7880
68	2324	7848
69	2358	7817
70	2393	7786
71	2424	7744
72	2455	7702
73	2487	7663
74	2523	7638
75	2557	7605
76	2592	7576
77	2626	7541
78	2658	7504
79	2692	7472
80	2724	7432
81	2758	7401
82	2793	7369
83	2828	7339
84	2864	7312
85	2897	7276
86	2933	7248
87	2964	7208
88	2997	7174
89	3031	7140
90	3061	7099
91	3091	7057
92	3120	7012
93	3153	6977
94	3186	6942
95	3217	6903
96	3250	6870
97	3282	6833
98	3315	6798
99	3347	6762
100	3377	6721
101	3409	6685
102	3442	6650
103	3477	6620
104	3511	6588
105	3540	6546
106	3572	6511
107	3605	6476
108	3637	6441
109	3670	6407
110	3702	6370
111	3736	6338
112	3770	6305
113	3802	6270
114	3832	6231
115	3864	6196
116	3898	6164
117	3930	6129
118	3964	6097
119	3997	6062
120	4029	6028
121	4063	5995
122	4095	5960
123	4129	5927
124	4161	5893
125	4192	5856
126	4225	5823
127	4259	5790
128	4293	5757
129	4325	5723
130	4359	5690
131	4392	5657
132	4425	5624
133	4460	5592
134	4495	5561
135	4530	5529
136	4564	5497
137	4600	5466
138	4633	5433
139	4666	5400
140	4699	5365
141	4733	5333
142	4768	5301
143	4803	5270
144	4837	5238
145	4869	5202
146	4903	5170
147	4937	5137
148	4972	5105
149	5008	5075
150	5045	5045
151	5079	5013
152	5114	4980
153	5147	4946
154	5176	4909
155	5211	4877
156	5246	4845
157	5280	4812
158	5314	4779
159	5349	4747
160	5383	4714
161	5417	4681
162	5451	4648
163	5487	4617
164	5521	4584
165	5554	4550
166	5586	4516
167	5615	4479
168	5650	4447
169	5686	4415
170	5723	4384
171	5758	4352
172	5791	4318
173	5824	4284
174	5856	4250
175	5889	4216
176	5924	4184
177	5957	4150
178	5993	4118
179	6026	4084
180	6060	4051
181	6091	4016
182	6122	3981
183	6156	3948
184	6188	3914
185	6225	3882
186	6257	3848
187	6292	3815
188	6327	3783
189	6362	3750
190	6396	3717
191	6431	3684
192	6466	3651
193	6502	3619
194	6532	3584
195	6567	3551
196	6601	3518
197	6636	3485
198	6672	3453
199	6706	3420
200	6740	3386
201	6773	3353
202	6804	3318
203	6839	3285
204	6874	3252
205	6907	3219
206	6939	3184
207	6975	3152
208	7010	3119
209	7046	3087
210	7077	3052
211	7109	3018
212	7141	2984
213	7176	2950
214	7210	2917
215	7242	2883
216	7274	2849
217	7307	2815
218	7340	2781
219	7373	2748
220	7406	2714
221	7439	2680
222	7470	2646
223	7501	2611
224	7531	2577
225	7562	2543
226	7595	2509
227	7625	2474
228	7658	2441
229	7693	2408
230	7727	2374
231	7758	2340
232	7791	2307
233	7824	2273
234	7858	2240
235	7894	2207
236	7928	2174
237	7959	2140
238	7992	2106
239	8025	2073
240	8060	2040
241	8094	2006
242	8128	1973
243	8159	1939
244	8191	1905
245	8226	1872
246	8260	1839
247	8293	1805
248	8325	1772
249	8357	1738
250	8389	1704
251	8422	1671
252	8454	1637
253	8489	1604
254	8523	1570
255	8556	1537
256	8588	1503
257	8624	1470
258	8658	1437
259	8695	1404
260	8731	1371
261	8765	1338
262	8800	1305
263	8835	1271
264	8871	1238
265	8907	1205
266	8943	1172
267	8979	1139
268	9015	1106
269	9054	1073
270	9093	1040
271	9126	1006
272	9161	973
273	9197	939
274	9232	906
275	9267	873
276	9301	839
277	9336	806
278	9372	772
279	9409	739
280	9446	705
281	9479	672
282	9514	638
283	9551	605
284	9588	571
285	9623	538
286	9661	504
287	9695	471
288	9737	438
289	9772	404
290	9807	370
291	9843	337
292	9879	303
293	9914	269
294	9947	236
295	9978	202
296	10010	168
297	10041	134
298	10076	101
299	10111	67
300	10145	33
301	10179	0
